Nom Centreon,CRITCAL,CRITICAL,CRITICAL1,CRITICAL15,CRITICAL5,DISK,WARNING,WARNING1,WARNING15,WARNING5
EENVD-EWM01,,150,,,,,95,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,free<=100M,,,,C:,free<=999M,,,
EENVD-EWM01,,none,,,,D:,free<= 10%,,,
EENVD-EWM01,,none,,,,I:,free<=10%,,,
EENVD-EWM01,,none,,,,K:,free<=10%,,,
EENVD-EWM01,,none,,,,T:,free<=10%,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,150,,,,,80,,,
cieyy1i4,,,99,30,30,,,99,30,30
cieyy1i4,,150,,,,,95,,,
cieyy1i4,,,,,,,,,,
cieyy1i4,,99,,,,/,85,,,
cieyy1i4,,99,,,,/boot,95,,,
cieyy1i4,,99,,,,/home,95,,,
cieyy1i4,,99,,,,/opt/rh/httpd24/root/var/www/html/applis,95,,,
cieyy1i4,,99,,,,/tmp,95,,,
cieyy1i4,,90,,,,/var,85,,,
cieyy1i4,,:,,,,/var/lib/mysql,:,,,
cieyy1i4,,99,,,,/var/log/audit,95,,,
cieyy1i4,,99,,,,,95,,,
cieyy1i4,,,,,,,,,,
cieyy1i4,,,,,,,,,,
cieyy1i4,,,,,,,,,,
cieyy1i4,,,,,,,,,,
cieyy1i4,,1:,,,,,1:,,,
cieyy1i4,,1:,,,,,1:,,,
cieyy1i4,,1:,,,,,1:,,,
cieyy1i4,,1:,,,,,1:,,,
cieyy1i4,,1:,,,,,1:,,,
cieyy1i4,,150,,,,,80,,,
cieyy1i4,,,,,,,,,,
cieyy1k5,,,99,30,30,,,99,30,30
cieyy1k5,,150,,,,,95,,,
cieyy1k5,,,,,,,,,,
cieyy1k5,,99,,,,/,85,,,
cieyy1k5,,99,,,,/appli/projects/siterc,95,,,
cieyy1k5,,99,,,,/appli/projects/siterc/aem-publish-rfo-1/aem,95,,,
cieyy1k5,,99,,,,/appli/projects/siterc/aem-publish-rfo-1/backup,95,,,
cieyy1k5,,99,,,,/appli/projects/siterc/apache-publish-rfo-1/dispatcher/cache,95,,,
cieyy1k5,,:,,,,/appli/projects/siterc/postgres-slave-rfo/data,:,,,
cieyy1k5,,99,,,,/boot,95,,,
cieyy1k5,,99,,,,/home,95,,,
cieyy1k5,,99,,,,/tmp,95,,,
cieyy1k5,,90,,,,/var,85,,,
cieyy1k5,,99,,,,/var/lib/docker,95,,,
cieyy1k5,,99,,,,/var/log/aem-publish-rfo-1/aem,95,,,
cieyy1k5,,99,,,,/var/log/apache-publish-rfo-1/httpd24,95,,,
cieyy1k5,,99,,,,/var/log/apache-publish-rfo-1/openam,95,,,
cieyy1k5,,99,,,,/var/log/audit,95,,,
cieyy1k5,,99,,,,/var/log/jboss-publish-rfo-1/jboss,95,,,
cieyy1k5,,99,,,,,95,,,
cieyy1k5,,,,,,,,,,
cieyy1k5,,,,,,,,,,
cieyy1k5,,,,,,,,,,
cieyy1k5,,,,,,,,,,
cieyy1k5,,1:,,,,,1:,,,
cieyy1k5,,1:,,,,,1:,,,
cieyy1k5,,1:,,,,,1:,,,
cieyy1k5,,1:,,,,,1:,,,
cieyy1k5,,1:,,,,,1:,,,
cieyy1k5,,95,,,,/depot,85,,,
cieyy1k5,,150,,,,,80,,,
cieyy1k5,,,,,,,,,,
cieyy1k6,,,99,30,30,,,99,30,30
cieyy1k6,,150,,,,,95,,,
cieyy1k6,,,,,,,,,,
cieyy1k6,,99,,,,/,85,,,
cieyy1k6,,99,,,,/appli/projects/siterc,95,,,
cieyy1k6,,99,,,,/appli/projects/siterc/aem-author-rfo-1/aem,95,,,
cieyy1k6,,:,,,,/appli/projects/siterc/postgres-master-rfo/data,:,,,
cieyy1k6,,99,,,,/boot,95,,,
cieyy1k6,,99,,,,/home,95,,,
cieyy1k6,,99,,,,/tmp,95,,,
cieyy1k6,,90,,,,/var,85,,,
cieyy1k6,,99,,,,/var/lib/docker,95,,,
cieyy1k6,,99,,,,/var/log/aem-author-rfo-1/aem,95,,,
cieyy1k6,,99,,,,/var/log/apache-author-rfo-1/httpd24,95,,,
cieyy1k6,,99,,,,/var/log/apache-author-rfo-1/openam,95,,,
cieyy1k6,,99,,,,/var/log/audit,95,,,
cieyy1k6,,99,,,,/var/log/jboss-author-rfo-1/jboss,95,,,
cieyy1k6,,:,,,,/var/log/postgres-master-rfo/postgres,:,,,
cieyy1k6,,99,,,,,95,,,
cieyy1k6,,,,,,,,,,
cieyy1k6,,,,,,,,,,
cieyy1k6,,,,,,,,,,
cieyy1k6,,,,,,,,,,
cieyy1k6,,1:,,,,,1:,,,
cieyy1k6,,1:,,,,,1:,,,
cieyy1k6,,1:,,,,,1:,,,
cieyy1k6,,1:,,,,,1:,,,
cieyy1k6,,1:,,,,,1:,,,
cieyy1k6,,95,,,,/depot,85,,,
cieyy1k6,,150,,,,,80,,,
cieyy1k6,,,,,,,,,,
cieyy1my,,,99,30,30,,,99,30,30
cieyy1my,,150,,,,,95,,,
cieyy1my,,,,,,,,,,
cieyy1my,,99,,,,/,85,,,
cieyy1my,,99,,,,/boot,95,,,
cieyy1my,,99,,,,/home,85,,,
cieyy1my,,99,,,,/tmp,95,,,
cieyy1my,,90,,,,/var,85,,,
cieyy1my,,99,,,,/var/lib/mysql,85,,,
cieyy1my,,99,,,,/var/log/audit,85,,,
cieyy1my,,99,,,,,95,,,
cieyy1my,,,,,,,,,,
cieyy1my,,,,,,,,,,
cieyy1my,,,,,,,,,,
cieyy1my,,,,,,,,,,
cieyy1my,,1:,,,,,1:,,,
cieyy1my,,1:,,,,,1:,,,
cieyy1my,,1:,,,,,1:,,,
cieyy1my,,1:,,,,,1:,,,
cieyy1my,,1:,,,,,1:,,,
cieyy1my,,150,,,,,80,,,
cieyy1my,,,,,,,,,,
cieyy1mz,,,99,30,30,,,99,30,30
cieyy1mz,,150,,,,,95,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,99,,,,/,85,,,
cieyy1mz,,99,,,,/appli,85,,,
cieyy1mz,,99,,,,/boot,95,,,
cieyy1mz,,99,,,,/home,85,,,
cieyy1mz,,99,,,,/tmp,95,,,
cieyy1mz,,90,,,,/var,85,,,
cieyy1mz,,99,,,,/var/lib/mysql,85,,,
cieyy1mz,,99,,,,/var/log/audit,85,,,
cieyy1mz,,99,,,,,95,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,150,,,,,80,,,
cieyy1mz,,,,,,,,,,
cieyy1nf,,,99,30,30,,,99,30,30
cieyy1nf,,150,,,,,95,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,99,,,,/,85,,,
cieyy1nf,,99,,,,/boot,95,,,
cieyy1nf,,99,,,,/exploit,85,,,
cieyy1nf,,99,,,,/home,85,,,
cieyy1nf,,99,,,,/opt/rh/httpd24/root/var/www/html/applis,85,,,
cieyy1nf,,99,,,,/tmp,95,,,
cieyy1nf,,90,,,,/var,85,,,
cieyy1nf,,99,,,,/var/lib/mysql,85,,,
cieyy1nf,,99,,,,/var/log/audit,85,,,
cieyy1nf,,99,,,,,95,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,150,,,,,80,,,
cieyy1nf,,,,,,,,,,
cieyy1pd,,,99,30,30,,,99,30,30
cieyy1pd,,150,,,,,95,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,99,,,,/,85,,,
cieyy1pd,,99,,,,/appli/projects,95,,,
cieyy1pd,,99,,,,/boot,95,,,
cieyy1pd,,99,,,,/exploit,95,,,
cieyy1pd,,99,,,,/home,95,,,
cieyy1pd,,99,,,,/tmp,95,,,
cieyy1pd,,90,,,,/var,85,,,
cieyy1pd,,99,,,,/var/log/audit,95,,,
cieyy1pd,,99,,,,,95,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,95,,,,/exploit/SFTP/ONE/reportage,85,,,
cieyy1pd,,150,,,,,80,,,
cieyy1pd,,,,,,,,,,
cieyy1pt,,,99,30,30,,,99,30,30
cieyy1pt,,150,,,,,95,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,99,,,,/,85,,,
cieyy1pt,,99,,,,/boot,95,,,
cieyy1pt,,99,,,,/home,95,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,99,,,,/tmp,95,,,
cieyy1pt,,90,,,,/var,85,,,
cieyy1pt,,,,,,,,,,
